NameKo,NameEn,Type,Objectives,Kappa
데뷔,Debut,사살,"스캐브 5명 사살 / MP-133 산탄총 2정 건네주기",예
수색 임무,Search Mission,탐험,"Woods에서 프라퍼 호송대 찾기 / USEC 임시 캠프 찾기 / 살아서 탈출",예
검증,Checking,획득 및 전달,"Customs 유조차에서 청동 회중시계 획득 / (선택) 유조차 열쇠 / 회중시계 제출",예
사격 피크닉,Shootout Picnic,사살,"Woods에서 스캐브 15명 사살",예
과거에서 온 배달,Delivery from the Past,획득 및 전달,"Customs 빨간창고 감독관 사무실에서 보안 케이스 획득 / Factory 2층 휴게실 금고에 케이스 보관 / Factory에서 탈출",예
BP 연료 확보,BP Depot,탐색,"Customs 유조차 4곳에 마커 설치 / 살아서 탈출",예
벙커 - 파트 1,The Bunker - Part 1,종합,"Reserve 지하 벙커 찾기 / 제어실 찾기 / 살아서 탈출",예
벙커 - 파트 2,The Bunker - Part 2,종합,"Reserve 여러 벙커 출입문(화이트 비숍/블랙 비숍/블랙 폰/화이트 폰/화이트 킹) 확인 / 살아서 탈출",예
나쁜 평판의 증거,Bad Rep Evidence,획득 및 전달,"Customs 컨테이너 숙소에서 보안 케이스 0031 획득 / (선택) Factory 3층 복도 잠긴 방 확인 / 보안 케이스 0031 제출 / Customs에서 탈출",예
아이스크림 콘,Ice Cream Cones,획득 및 전달,"레이드에서 6L31 60발 탄창 3개 확보 / 탄창 3개 제출",예
배신자들을 위한 곳은 없다,No Place for Renegades,사살,"Reserve 지휘 벙커에서 레이더 5명 처치",예
문서,Documents,획득 및 전달,"Reserve 군사 문서 #1/#2/#3 입수 / 3개 문서 제출",예
행복배달부 펫아저씨 - 파트 1,Postman Pat - Part 1,획득 및 전달,"Factory에서 편지 회수 / 살아서 탈출 / Therapist에게 편지 전달",예
돈가방을 갖고 튀어라,Shaking up the Teller,획득 및 전달,"Customs 기숙사 203호 귀중품 회수 / (선택) 214호 접근 / 귀중품 제출",예
퍼니셔 - 파트 1,The Punisher - Part 1,사살,"Shoreline에서 AKM 계열로 스캐브 15명 사살",예
퍼니셔 - 파트 2,The Punisher - Part 2,사살,"Shoreline에서 소음기 무기로 스캐브 12명 사살 / 하프 마스크 7개 레이드 획득·제출",예
퍼니셔 - 파트 3,The Punisher - Part 3,사살,"Customs에서 AKS-74U로 스캐브 25명 사살",예
퍼니셔 - 파트 4,The Punisher - Part 4,사살,"Woods 샷건으로 스캐브 10명 / Shoreline 발라클라바+스캐브 조끼 착용 후 PMC 10명 사살 / Bars A-2607 나이프 5개 제출",예
퍼니셔 - 파트 5,The Punisher - Part 5,획득 및 전달,"레이드에서 AK-74N/M4A1/PM 마카로프(2정) 획득·제출 / PACA+6B47 착용 상태로 PMC 10명 사살",예
퍼니셔 - 파트 6,The Punisher - Part 6,사살,"SVD로 PMC 10명 사살(Factory 제외) / 레이드에서 BEAR 인식표 7개·USEC 인식표 7개 제출",예
마취,Anesthesia,탐색,"Shoreline 거래 지점 3곳 마커 설치 / 살아서 탈출",예
척탄병,Grenadier,사살,"수류탄으로 PMC 8명 사살",예
불면증,Insomnia,사살,"22:00~05:00(Factory 제외) PMC 30명 사살",예
시범운용 - 파트 1,Test Drive - Part 1,사살,"REAP-IR 장착 M1A로 60m+ PMC 5명 사살",예
시범운용 - 파트 2,Test Drive - Part 2,사살,"소음기 SR-2M + KP-SR2로 PMC 20명 사살",아니요
완벽한 중재자,Perfect Mediator,평판,"Ragman/Skier/Mechanic/Peacekeeper/Prapor/Therapist 우호도 4레벨 달성",예
폴리킴의 방랑자,Polikhim Hobo,사살,"Customs에서 스캐브 25명 사살",예
규제품목,Regulated Materials,획득 및 전달,"레이드에서 탱크 배터리 1개 / OFZ 30x160mm 포탄 5개 획득·제출",예
큰 손,Big Customer,종합,"Customs 화학물 차량 찾기 / 차량에 마커 설치 / 살아서 탈출",아니요
악의 없음,No Offence,획득 및 전달,"M67 수류탄 10개 구해 제출",아니요
요충지 탈환,Capturing Outposts,사살,"Customs/Woods/Shoreline 스캐브 기지에서 PMC 8명씩 사살",아니요
협박자,Intimidator,사살,"스캐브를 헤드샷으로 40명 사살",예
호위,Escort,사살,"여러 맵(Factory 주간/Customs/Shoreline/Reserve/Woods/Interchange/Lab)에서 PMC 4명씩 사살 / 진행 중 사망·탈주 금지",아니요
쉬운 일 - 파트 1,Easy Job - Part 1,탐색,"Lighthouse 하수처리장 헬리콥터 찾기 / 마커 설치 / 살아서 탈출",예
쉬운 일 - 파트 2,Easy Job - Part 2,사살,"Lighthouse 하수처리장 헬리콥터 주변 지역 확보",예
우리의 고향,Our Own Land,사살,"Lighthouse에서 USEC PMC 20명 사살 / 레이드에서 발견한 USEC 인식표 20개 제출",아니요
정찰,Reconnaissance,탐험,"Lighthouse 사무실 건물 옥상 3곳 정찰 / 살아서 탈출",예
편지가 도착했습니다,You've Got Mail,종합,"Streets에서 봉인된 편지 찾기 / 제출",아니요
소련공산당에 영광을,Glory to CPSU,종합,"Streets에서 프라퍼 친구의 아파트 찾기 / 살아서 탈출",아니요
세계 최고의 직업,Best Job in the World,사살,"AK-74 시리즈로 100m+ 스캐브 30명 사살",아니요
옥상의 지배자들,Kings of the Rooftops,사살,"Streets 옥상 저격수 10명 사살 / 살아서 탈출",아니요
Green Corridor,Green Corridor,탐험,"Streets 화물 호송대 위치 파악 / 매복 지점 파악 / 살아서 탈출",아니요

